,position,company name,yoe,ctc,location
0,Data Science/Data Analyst,Findoc Finvest Private Limited,4-7 Yrs,Not disclosed,Gurgaon/Gurugram
1,Python Trainer & Data Science Trainer,CQS TRAINING PRIVATE LIMITED,0-4 Yrs,"2,50,000 - 3,00,000 PA.",New Delhi(B1 Block Janakpuri)
2,Analyst- Data Science,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
3,Senior Analyst-Data Science,Accenture,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
4,Senior Research Analyst / Asst Manager Data Science,TrizTeck Intellectual Property Solutions LLP,2-5 Yrs,"4,75,000 - 7,50,000 PA.",New Delhi(Greater Kailash)
5,Data science +  Python - NP Max 45 days,ERM Placement Services (P) Ltd.,3-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
6,Opening with Data Science,Pricewater House Coopers Service Delivery Center    Bangalore Private Limited,2-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
7,Specialist in VBA For Quantitative Analysis and Data Science,Gartner,1-3 Yrs,Not disclosed,Gurgaon/Gurugram
8,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
9,Senior Analyst - Data Science,Tiger Analytics India LLP,1-6 Yrs,Not disclosed,Chennai(WFH during Covid)
10,Looking For Part Time Data Science Trainer (WFH) with LetsUpgrade,ITM Edutech (India) Limited,0-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Navi Mumbai, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"
11,Python / Data Analytics / Data Science Trainer @ TechVidya,TECHVIDYA CAREER PVT. LTD.,1-6 Yrs,"2,50,000 - 6,00,000 PA.",Noida(Sector-2 Noida)
12,Senior Director -  Data Science,Course5,10-15 Yrs,"25,00,000 - 40,00,000 PA.","Gurgaon/Gurugram, Bangalore/Bengaluru"
13,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
14,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
15,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
16,Analyst: Data Science Insights,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,1-4 Yrs,Not disclosed,Chennai
17,Job Support - Data Science/Data Analyst,LAVSUN Technologies Inc.,5-10 Yrs,"50,000 - 60,000 PA.",Remote
18,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
19,Data Science Manager- Artificial Intelligence,Spectral Consultants -Search and Recruitments Firm,9-14 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
